po_id,sku,supplier_id,order_date,expected_date,delivered_date,quantity,unit_price
PO-P101-0033,P101,S3,2023-07-31,2023-08-05,2023-08-06,665,4.16
PO-P105-0013,P105,S4,2023-07-31,2023-08-14,2023-08-13,395,146.72
PO-P104-0015,P104,S4,2023-08-04,2023-08-16,2023-08-16,905,55.53
PO-P101-0034,P101,S3,2023-08-06,2023-08-11,2023-08-12,745,4.42
PO-P102-0020,P102,S5,2023-08-08,2023-08-17,2023-08-15,755,7.56
PO-P103-0017,P103,S5,2023-08-09,2023-08-19,2023-08-19,430,24.86
PO-P106-0017,P106,S4,2023-08-10,2023-08-21,2023-08-18,665,20.29
PO-P109-0012,P109,S2,2023-08-10,2023-08-26,2023-08-21,945,26.99
PO-P110-0011,P110,S2,2023-08-11,2023-08-29,2023-09-01,360,165.84
PO-P101-0035,P101,S3,2023-08-12,2023-08-17,2023-08-16,745,4.17
PO-P112-0012,P112,S6,2023-08-13,2023-08-29,2023-09-02,515,131.83
PO-P107-0013,P107,S4,2023-08-16,2023-08-31,2023-08-31,340,92.11
PO-P104-0016,P104,S4,2023-08-16,2023-08-28,2023-08-26,980,57.48
PO-P102-0021,P102,S5,2023-08-17,2023-08-26,2023-08-25,785,7.69
PO-P105-0014,P105,S4,2023-08-17,2023-08-31,2023-09-01,365,149.18
PO-P101-0036,P101,S3,2023-08-18,2023-08-23,2023-08-22,695,3.97
PO-P111-0013,P111,S2,2023-08-18,2023-09-02,2023-08-29,1885,69.46
PO-P108-0011,P108,S6,2023-08-21,2023-09-08,2023-09-14,230,408.04
PO-P103-0018,P103,S5,2023-08-22,2023-09-01,2023-09-04,415,24.66
PO-P106-0018,P106,S4,2023-08-23,2023-09-03,2023-09-08,645,20.54
PO-P109-0013,P109,S2,2023-08-23,2023-09-08,2023-09-06,1085,28.17
PO-P101-0037,P101,S3,2023-08-24,2023-08-29,2023-08-28,675,4.16
PO-P102-0022,P102,S5,2023-08-28,2023-09-06,2023-09-06,770,7.75
PO-P104-0017,P104,S4,2023-08-29,2023-09-10,2023-09-09,1030,58.92
PO-P101-0038,P101,S3,2023-08-29,2023-09-03,2023-09-05,725,4.31
PO-P107-0014,P107,S4,2023-08-31,2023-09-15,2023-09-17,360,94.44
PO-P110-0012,P110,S2,2023-09-01,2023-09-19,2023-09-13,395,161.51
PO-P111-0014,P111,S2,2023-09-01,2023-09-16,2023-09-18,1825,69.1
PO-P105-0015,P105,S4,2023-09-01,2023-09-15,2023-09-19,395,142.56
PO-P112-0013,P112,S6,2023-09-02,2023-09-18,2023-09-22,490,133.99
PO-P103-0019,P103,S5,2023-09-04,2023-09-14,2023-09-14,415,24.89
PO-P101-0039,P101,S3,2023-09-05,2023-09-10,2023-09-10,810,4.22
PO-P102-0023,P102,S5,2023-09-08,2023-09-17,2023-09-18,775,7.66
PO-P106-0019,P106,S4,2023-09-08,2023-09-19,2023-09-22,780,20.09
PO-P101-0040,P101,S3,2023-09-10,2023-09-15,2023-09-16,795,4.24
PO-P109-0014,P109,S2,2023-09-11,2023-09-27,2023-09-21,1135,28.0
PO-P104-0018,P104,S4,2023-09-13,2023-09-25,2023-09-27,970,60.01
PO-P108-0012,P108,S6,2023-09-14,2023-10-02,2023-10-04,275,409.35
PO-P103-0020,P103,S5,2023-09-14,2023-09-24,2023-09-26,450,25.23
PO-P110-0013,P110,S2,2023-09-14,2023-10-02,2023-10-06,445,164.81
PO-P101-0041,P101,S3,2023-09-16,2023-09-21,2023-09-21,785,4.23
PO-P107-0015,P107,S4,2023-09-18,2023-10-03,2023-10-01,340,94.88
PO-P111-0015,P111,S2,2023-09-18,2023-10-03,2023-09-30,1900,68.17
PO-P105-0016,P105,S4,2023-09-19,2023-10-03,2023-10-12,415,147.19
PO-P102-0024,P102,S5,2023-09-19,2023-09-28,2023-09-27,755,7.69
PO-P112-0014,P112,S6,2023-09-22,2023-10-08,2023-10-08,555,133.62
PO-P106-0020,P106,S4,2023-09-22,2023-10-03,2023-10-05,685,19.85
PO-P101-0042,P101,S3,2023-09-23,2023-09-28,2023-09-30,700,4.24
PO-P103-0021,P103,S5,2023-09-26,2023-10-06,2023-09-28,480,25.35
PO-P104-0019,P104,S4,2023-09-27,2023-10-09,2023-10-10,980,57.09
PO-P109-0015,P109,S2,2023-09-28,2023-10-14,2023-10-15,1140,27.7
PO-P102-0025,P102,S5,2023-09-28,2023-10-07,2023-10-14,780,7.55
PO-P101-0043,P101,S3,2023-09-30,2023-10-05,2023-10-06,700,4.2
PO-P107-0016,P107,S4,2023-10-01,2023-10-16,2023-10-19,400,95.56
PO-P111-0016,P111,S2,2023-10-03,2023-10-18,2023-10-15,2005,67.82
PO-P108-0013,P108,S6,2023-10-04,2023-10-22,2023-10-13,265,422.27
PO-P106-0021,P106,S4,2023-10-05,2023-10-16,2023-10-14,775,19.93
PO-P110-0014,P110,S2,2023-10-06,2023-10-24,2023-10-22,425,165.48
PO-P101-0044,P101,S3,2023-10-06,2023-10-11,2023-10-08,710,4.01
PO-P103-0022,P103,S5,2023-10-07,2023-10-17,2023-10-18,430,25.07
PO-P112-0015,P112,S6,2023-10-09,2023-10-25,2023-10-28,535,130.81
PO-P101-0045,P101,S3,2023-10-11,2023-10-16,2023-10-17,700,4.28
PO-P104-0020,P104,S4,2023-10-11,2023-10-23,2023-10-24,950,57.68
PO-P105-0017,P105,S4,2023-10-12,2023-10-26,2023-10-20,440,143.55
PO-P102-0026,P102,S5,2023-10-14,2023-10-23,2023-10-18,795,7.67
PO-P109-0016,P109,S2,2023-10-15,2023-10-31,2023-11-02,1215,28.64
PO-P106-0022,P106,S4,2023-10-16,2023-10-27,2023-10-24,745,20.07
PO-P111-0017,P111,S2,2023-10-17,2023-11-01,2023-10-30,2175,68.31
PO-P101-0046,P101,S3,2023-10-18,2023-10-23,2023-10-22,695,4.22
PO-P107-0017,P107,S4,2023-10-19,2023-11-03,2023-11-11,380,97.05
PO-P103-0023,P103,S5,2023-10-19,2023-10-29,2023-10-28,430,25.07
PO-P110-0015,P110,S2,2023-10-22,2023-11-09,2023-11-04,555,161.35
PO-P104-0021,P104,S4,2023-10-24,2023-11-05,2023-11-06,1065,57.9
PO-P105-0018,P105,S4,2023-10-24,2023-11-07,2023-11-05,460,148.27
PO-P102-0027,P102,S5,2023-10-24,2023-11-02,2023-11-02,790,7.6
PO-P108-0014,P108,S6,2023-10-24,2023-11-11,2023-11-13,265,418.92
PO-P101-0047,P101,S3,2023-10-24,2023-10-29,2023-11-01,655,4.21
PO-P106-0023,P106,S4,2023-10-25,2023-11-05,2023-10-31,815,20.09
PO-P112-0016,P112,S6,2023-10-28,2023-11-13,2023-11-13,590,131.65
PO-P103-0024,P103,S5,2023-10-30,2023-11-09,2023-11-04,455,24.63
PO-P101-0048,P101,S3,2023-11-01,2023-11-06,2023-11-12,700,4.29
PO-P102-0028,P102,S5,2023-11-02,2023-11-11,2023-11-07,815,7.8
PO-P109-0017,P109,S2,2023-11-02,2023-11-18,2023-11-16,1185,27.86
PO-P111-0018,P111,S2,2023-11-03,2023-11-18,2023-11-16,2150,67.59
PO-P104-0022,P104,S4,2023-11-06,2023-11-18,2023-11-16,1075,57.7
PO-P106-0024,P106,S4,2023-11-07,2023-11-18,2023-11-16,820,19.43
PO-P103-0025,P103,S5,2023-11-08,2023-11-18,2023-11-22,490,25.29
PO-P105-0019,P105,S4,2023-11-10,2023-11-24,2023-11-27,455,143.2
PO-P102-0029,P102,S5,2023-11-11,2023-11-20,2023-11-26,850,7.65
PO-P107-0018,P107,S4,2023-11-11,2023-11-26,2023-11-21,455,96.29
PO-P101-0049,P101,S3,2023-11-12,2023-11-17,2023-11-18,715,4.18
PO-P108-0015,P108,S6,2023-11-13,2023-12-01,2023-12-02,280,417.59
PO-P112-0017,P112,S6,2023-11-14,2023-11-30,2023-11-24,610,129.78
PO-P104-0023,P104,S4,2023-11-16,2023-11-28,2023-11-26,1120,59.46
PO-P110-0016,P110,S2,2023-11-16,2023-12-04,2023-12-03,470,162.49
PO-P101-0050,P101,S3,2023-11-18,2023-11-23,2023-11-23,750,4.27
PO-P111-0019,P111,S2,2023-11-20,2023-12-05,2023-12-12,2285,69.84
PO-P109-0018,P109,S2,2023-11-20,2023-12-06,2023-12-05,1250,27.04
PO-P106-0025,P106,S4,2023-11-21,2023-12-02,2023-12-03,790,20.0
PO-P103-0026,P103,S5,2023-11-22,2023-12-02,2023-11-30,455,25.65
PO-P101-0051,P101,S3,2023-11-23,2023-11-28,2023-11-26,755,4.14
PO-P107-0019,P107,S4,2023-11-24,2023-12-09,2023-12-11,440,95.3
PO-P102-0030,P102,S5,2023-11-26,2023-12-05,2023-12-03,835,7.94
PO-P105-0020,P105,S4,2023-11-27,2023-12-11,2023-12-12,490,147.71
PO-P101-0052,P101,S3,2023-11-29,2023-12-04,2023-12-05,735,4.25
PO-P104-0024,P104,S4,2023-11-30,2023-12-12,2023-12-14,1190,55.52
PO-P103-0027,P103,S5,2023-12-01,2023-12-11,2023-12-04,485,25.15
PO-P108-0016,P108,S6,2023-12-02,2023-12-20,2023-12-16,290,412.58
PO-P112-0018,P112,S6,2023-12-02,2023-12-18,2023-12-15,585,134.72
PO-P106-0026,P106,S4,2023-12-04,2023-12-15,2023-12-15,775,19.3
PO-P110-0017,P110,S2,2023-12-04,2023-12-22,2023-12-27,510,160.49
PO-P102-0031,P102,S5,2023-12-06,2023-12-15,2023-12-12,815,7.74
PO-P101-0053,P101,S3,2023-12-06,2023-12-11,2023-12-11,675,4.22
PO-P109-0019,P109,S2,2023-12-09,2023-12-25,2023-12-22,1205,27.84
PO-P101-0054,P101,S3,2023-12-12,2023-12-17,2023-12-15,670,4.21
PO-P105-0021,P105,S4,2023-12-12,2023-12-26,2023-12-25,515,145.95
PO-P103-0028,P103,S5,2023-12-12,2023-12-22,2023-12-22,500,24.25
PO-P111-0020,P111,S2,2023-12-13,2023-12-28,2024-01-01,1880,70.21
PO-P104-0025,P104,S4,2023-12-14,2023-12-26,2023-12-25,1190,57.85
PO-P107-0020,P107,S4,2023-12-15,2023-12-30,2023-12-28,410,97.21
PO-P102-0032,P102,S5,2023-12-15,2023-12-24,2023-12-21,830,7.39
PO-P106-0027,P106,S4,2023-12-16,2023-12-27,2023-12-29,780,19.69
PO-P101-0055,P101,S3,2023-12-17,2023-12-22,2023-12-22,710,4.33
PO-P108-0017,P108,S6,2023-12-21,2024-01-08,2024-01-05,300,401.82
PO-P103-0029,P103,S5,2023-12-22,2024-01-01,2023-12-29,560,24.79
PO-P101-0056,P101,S3,2023-12-22,2023-12-27,2023-12-28,735,4.17
PO-P112-0019,P112,S6,2023-12-22,2024-01-07,2024-01-05,545,129.02
PO-P104-0026,P104,S4,2023-12-25,2024-01-06,2024-01-10,1255,56.79
PO-P102-0033,P102,S5,2023-12-25,2024-01-03,2024-01-02,995,7.93
PO-P101-0057,P101,S3,2023-12-28,2024-01-02,2024-01-02,775,4.32
PO-P109-0020,P109,S2,2023-12-28,2024-01-13,2024-01-10,1195,27.3
PO-P105-0022,P105,S4,2023-12-28,2024-01-11,2024-01-09,475,145.92
PO-P110-0018,P110,S2,2023-12-29,2024-01-16,2024-01-17,450,164.41
PO-P107-0021,P107,S4,2023-12-29,2024-01-13,2024-01-13,455,94.45
PO-P106-0028,P106,S4,2023-12-29,2024-01-09,2024-01-09,830,20.35
PO-P111-0021,P111,S2,2024-01-01,2024-01-16,2024-01-12,2005,68.76
PO-P102-0034,P102,S5,2024-01-02,2024-01-11,2024-01-06,1020,7.93
PO-P101-0058,P101,S3,2024-01-02,2024-01-07,2024-01-08,780,4.13
PO-P103-0030,P103,S5,2024-01-04,2024-01-14,2024-01-16,495,25.33
PO-P112-0020,P112,S6,2024-01-08,2024-01-24,2024-01-21,585,134.14
PO-P101-0059,P101,S3,2024-01-09,2024-01-14,2024-01-15,745,4.18
PO-P104-0027,P104,S4,2024-01-10,2024-01-22,2024-01-18,1260,56.88
PO-P106-0029,P106,S4,2024-01-10,2024-01-21,2024-01-19,835,19.38
PO-P105-0023,P105,S4,2024-01-10,2024-01-24,2024-01-20,510,144.65
PO-P108-0018,P108,S6,2024-01-11,2024-01-29,2024-01-28,295,412.08
PO-P111-0022,P111,S2,2024-01-12,2024-01-27,2024-02-02,2295,70.01
PO-P102-0035,P102,S5,2024-01-14,2024-01-23,2024-02-01,935,7.96
PO-P107-0022,P107,S4,2024-01-16,2024-01-31,2024-02-09,445,95.63
PO-P101-0060,P101,S3,2024-01-16,2024-01-21,2024-01-20,695,4.17
PO-P103-0031,P103,S5,2024-01-16,2024-01-26,2024-01-26,505,25.11
PO-P109-0021,P109,S2,2024-01-16,2024-02-01,2024-02-05,1155,27.77
PO-P104-0028,P104,S4,2024-01-20,2024-02-01,2024-01-31,1335,59.06
PO-P101-0061,P101,S3,2024-01-20,2024-01-25,2024-01-22,740,4.14
PO-P106-0030,P106,S4,2024-01-22,2024-02-02,2024-01-31,855,19.61
PO-P110-0019,P110,S2,2024-01-23,2024-02-10,2024-02-12,395,163.46
