date,sku,units_sold,unit_price,promo_flag,on_hand,stockout_flag,lag_1,lag_7,lag_14,lag_28,roll_mean_7,roll_std_7,roll_mean_28,roll_std_28,dow,month,weekofyear,trend_idx
2023-01-17,P101,156,5.67,0,1401,0.0,145.0,140.0,171.0,,126.14285714285714,54.302942128484375,,,1.0,1.0,3.0,0.014695804462042184
2023-01-18,P101,153,5.67,0,1248,0.0,156.0,173.0,160.0,,128.42857142857142,55.31081010332169,,,2.0,1.0,3.0,0.015609533236884184
2023-01-19,P101,166,5.67,0,1082,0.0,153.0,160.0,155.0,,125.57142857142857,53.09694637439816,,,3.0,1.0,3.0,0.016523262011726186
2023-01-20,P101,135,5.68,0,947,0.0,166.0,163.0,147.0,,126.42857142857143,53.789271367863996,,,4.0,1.0,3.0,0.01743699078656819
2023-01-21,P101,81,5.68,0,866,0.0,135.0,75.0,67.0,,122.42857142857143,51.613490300040546,,,5.0,1.0,3.0,0.018350719561410187
2023-01-22,P101,28,5.68,0,838,0.0,81.0,27.0,33.0,,123.28571428571429,50.736949999365294,,,6.0,1.0,3.0,0.01926444833625219
2023-01-23,P101,157,5.68,0,681,0.0,28.0,145.0,126.0,,123.42857142857143,50.42108402529356,,,0.0,1.0,4.0,0.02017817711109419
2023-01-24,P101,156,5.68,0,525,0.0,157.0,156.0,140.0,,125.14285714285714,51.469824724229014,,,1.0,1.0,4.0,0.02109190588593619
2023-01-25,P101,140,5.68,0,1110,0.0,156.0,153.0,173.0,,125.14285714285714,51.469824724229014,,,2.0,1.0,4.0,0.022005634660778192
2023-01-26,P101,145,5.68,0,965,0.0,140.0,166.0,160.0,,123.28571428571429,50.5229792131405,,,3.0,1.0,4.0,0.022919363435620194
2023-01-27,P101,139,5.68,0,826,0.0,145.0,135.0,163.0,,120.28571428571429,48.13077423615194,,,4.0,1.0,4.0,0.023833092210462193
2023-01-28,P101,76,5.68,0,750,0.0,139.0,81.0,75.0,,120.85714285714286,48.35779348229393,,,5.0,1.0,4.0,0.024746820985304195
2023-01-29,P101,37,5.69,0,713,0.0,76.0,28.0,27.0,34.0,120.14285714285714,49.076228364414774,124.10714285714286,48.82192835018592,6.0,1.0,4.0,0.025660549760146197
2023-01-30,P101,149,5.69,0,564,0.0,37.0,157.0,145.0,167.0,121.42857142857143,46.29923376924338,124.21428571428571,48.61973166193235,0.0,1.0,5.0,0.0265742785349882
2023-01-31,P101,153,5.69,0,411,0.0,149.0,156.0,156.0,171.0,120.28571428571429,45.36413519405788,123.57142857142857,48.14978833185164,1.0,1.0,5.0,0.027488007309830198
2023-02-01,P101,119,5.69,0,992,0.0,153.0,140.0,153.0,160.0,119.85714285714286,44.98306559669083,122.92857142857143,47.610245218182285,2.0,2.0,5.0,0.0284017360846722
2023-02-02,P101,135,5.69,0,857,0.0,119.0,145.0,166.0,155.0,116.85714285714286,44.10755253328153,121.46428571428571,47.055115156950386,3.0,2.0,5.0,0.029315464859514202
2023-02-03,P101,139,5.69,0,718,0.0,135.0,139.0,135.0,147.0,115.42857142857143,43.196670947567014,120.75,46.67747890618169,4.0,2.0,5.0,0.0302291936343562
2023-02-04,P101,73,5.69,0,645,0.0,139.0,76.0,81.0,67.0,115.42857142857143,43.196670947567014,120.46428571428571,46.535117876365106,5.0,2.0,5.0,0.031142922409198203
2023-02-05,P101,36,5.69,0,609,0.0,73.0,37.0,28.0,33.0,115.0,43.66539438350083,120.67857142857143,46.29299088729313,6.0,2.0,5.0,0.032056651184040205
2023-02-06,P101,149,5.7,0,460,0.0,36.0,149.0,157.0,126.0,114.85714285714286,43.96372963943713,120.78571428571429,46.08555421038469,0.0,2.0,6.0,0.032970379958882204
2023-02-07,P101,180,5.7,0,960,0.0,149.0,153.0,156.0,140.0,114.85714285714286,43.96372963943713,121.60714285714286,46.38593280192564,1.0,2.0,6.0,0.03388410873372421
2023-02-08,P101,156,5.7,0,804,0.0,180.0,119.0,140.0,173.0,118.71428571428571,48.78768384785339,123.03571428571429,47.574099818545946,2.0,2.0,6.0,0.03479783750856621
2023-02-09,P101,152,5.7,0,652,0.0,156.0,135.0,145.0,160.0,124.0,50.78713747922138,122.42857142857143,47.018064748545456,3.0,2.0,6.0,0.03571156628340821
2023-02-10,P101,143,5.7,0,509,0.0,152.0,139.0,139.0,163.0,126.42857142857143,51.79722367996551,122.14285714285714,46.80512340246072,4.0,2.0,6.0,0.03662529505825021
2023-02-11,P101,79,5.7,0,430,0.0,143.0,73.0,76.0,75.0,127.0,51.9807656734681,121.42857142857143,46.308489399635896,5.0,2.0,6.0,0.03753902383309221
2023-02-12,P101,38,5.7,0,392,0.0,79.0,36.0,37.0,27.0,127.85714285714286,50.98178946587552,121.57142857142857,46.16590739161318,6.0,2.0,6.0,0.03845275260793421
2023-02-13,P101,114,5.7,0,278,0.0,38.0,149.0,149.0,145.0,128.14285714285714,50.383292771276764,121.96428571428571,45.37129304752326,0.0,2.0,7.0,0.039366481382776215
2023-02-14,P101,124,5.7,0,154,0.0,114.0,180.0,153.0,156.0,123.14285714285714,49.700531759155815,120.85714285714286,45.16612487228493,1.0,2.0,7.0,0.040280210157618214
2023-02-15,P101,147,5.71,0,702,0.0,124.0,156.0,119.0,153.0,115.14285714285714,43.09071273267039,119.71428571428571,44.64581365871471,2.0,2.0,7.0,0.04119393893246021
2023-02-16,P101,152,5.71,0,550,0.0,147.0,152.0,135.0,166.0,113.85714285714286,41.78288553713735,119.5,44.494277617922286,3.0,2.0,7.0,0.04210766770730222
2023-02-17,P101,156,5.71,0,394,0.0,152.0,143.0,139.0,135.0,113.85714285714286,41.78288553713735,119.0,44.028610226970805,4.0,2.0,7.0,0.04302139648214422
2023-02-18,P101,84,5.71,0,310,0.0,156.0,79.0,73.0,81.0,115.71428571428571,43.545816047447005,119.75,44.487721984918565,5.0,2.0,7.0,0.043935125256986216
2023-02-19,P101,31,5.71,0,279,0.0,84.0,38.0,36.0,28.0,116.42857142857143,42.87912134849601,119.85714285714286,44.394456014999484,6.0,2.0,7.0,0.04484885403182822
2023-02-20,P101,171,5.71,0,793,0.0,31.0,114.0,149.0,157.0,115.42857142857143,45.04019368984825,119.96428571428571,44.16759507859189,0.0,2.0,8.0,0.04576258280667022
2023-02-21,P101,178,5.71,0,615,0.0,171.0,124.0,180.0,156.0,123.57142857142857,49.655000227762024,120.46428571428571,44.6786734632292,1.0,2.0,8.0,0.04667631158151222
2023-02-22,P101,160,5.71,0,455,0.0,178.0,147.0,156.0,140.0,131.28571428571428,53.75783442350296,121.25,45.512411819520494,2.0,2.0,8.0,0.047590040356354224
2023-02-23,P101,169,5.71,0,286,0.0,160.0,152.0,152.0,145.0,133.14285714285714,54.60899978156399,121.96428571428571,45.97219944371947,3.0,2.0,8.0,0.04850376913119622
2023-02-24,P101,150,5.72,0,136,0.0,169.0,156.0,143.0,139.0,135.57142857142858,55.948956328833454,122.82142857142857,46.636540729528065,4.0,2.0,8.0,0.04941749790603822
2023-02-25,P101,75,5.72,0,61,0.0,150.0,84.0,79.0,76.0,134.71428571428572,55.6288722568724,123.21428571428571,46.82382832993153,5.0,2.0,8.0,0.05033122668088023
2023-02-26,P101,35,5.72,0,26,0.0,75.0,31.0,38.0,37.0,133.42857142857142,57.08139551802946,123.17857142857143,46.861540395658864,6.0,2.0,8.0,0.051244955455722226
2023-02-27,P101,157,5.72,0,579,0.0,35.0,171.0,114.0,149.0,134.0,55.89275444992847,123.10714285714286,46.999085322631764,0.0,2.0,9.0,0.052158684230564224
2023-02-28,P101,161,5.72,0,418,0.0,157.0,178.0,124.0,153.0,132.0,54.5832697200647,123.39285714285714,47.18626548894975,1.0,2.0,9.0,0.05307241300540623
2023-03-01,P101,184,5.72,0,234,0.0,161.0,160.0,147.0,119.0,129.57142857142858,52.53524893775968,123.67857142857143,47.39593166743679,2.0,3.0,9.0,0.05398614178024823
2023-03-02,P101,112,5.72,0,122,0.0,184.0,169.0,152.0,135.0,133.0,55.54877736428288,126.0,48.731311707574015,3.0,3.0,9.0,0.054899870555090234
2023-03-03,P101,124,5.72,0,0,0.0,112.0,150.0,156.0,139.0,124.85714285714286,53.533256241419906,125.17857142857143,48.76781996922011,4.0,3.0,9.0,0.05581359932993223
2023-03-04,P101,70,5.72,0,0,0.0,124.0,75.0,84.0,73.0,121.14285714285714,52.387748476873774,124.64285714285714,48.69269797391428,5.0,3.0,9.0,0.05672732810477423
2023-03-05,P101,31,5.72,0,0,0.0,70.0,35.0,31.0,36.0,120.42857142857143,53.1502810994672,124.53571428571429,48.81369126614432,6.0,3.0,9.0,0.05764105687961624
2023-03-06,P101,151,5.73,0,584,0.0,31.0,157.0,171.0,149.0,119.85714285714286,54.23230455312457,124.35714285714286,49.157505199718145,0.0,3.0,10.0,0.058554785654458236
2023-03-07,P101,135,5.73,0,449,0.0,151.0,161.0,178.0,180.0,119.0,53.591044027897034,124.42857142857143,49.19607675672896,1.0,3.0,10.0,0.05939237036473007
2023-03-08,P101,142,5.73,0,307,0.0,135.0,184.0,160.0,156.0,115.28571428571429,51.03500199442954,122.82142857142857,48.034750978716446,2.0,3.0,10.0,0.06030609913957207
2023-03-09,P101,140,5.73,0,167,0.0,142.0,112.0,169.0,152.0,109.28571428571429,43.52667490828385,122.32142857142857,47.74861143719148,3.0,3.0,10.0,0.06121982791441407
2023-03-10,P101,187,5.73,0,0,0.0,140.0,124.0,150.0,143.0,113.28571428571429,45.076654289163486,121.89285714285714,47.525696196287306,4.0,3.0,10.0,0.062133556689256075
2023-03-11,P101,164,5.73,1,561,0.0,187.0,70.0,75.0,79.0,122.28571428571429,53.140424931541155,123.46428571428571,48.95537056215902,5.0,3.0,10.0,0.06304728546409807
2023-03-12,P101,31,5.73,0,530,0.0,164.0,31.0,35.0,38.0,135.71428571428572,49.476305055094414,126.5,48.73093169336805,6.0,3.0,10.0,0.06396101423894007
2023-03-13,P101,150,5.73,0,380,0.0,31.0,151.0,157.0,114.0,135.71428571428572,49.476305055094414,126.25,49.21729972878024,0.0,3.0,11.0,0.06487474301378207
2023-03-14,P101,142,5.73,0,978,0.0,150.0,135.0,161.0,124.0,135.57142857142858,49.4262317090063,127.53571428571429,49.35546211121561,1.0,3.0,11.0,0.06578847178862407
2023-03-15,P101,126,5.73,0,852,0.0,142.0,142.0,184.0,147.0,136.57142857142858,49.48352299118411,128.17857142857142,49.4248802028774,2.0,3.0,11.0,0.06670220056346608
2023-03-16,P101,153,5.73,0,699,0.0,126.0,140.0,112.0,152.0,134.28571428571428,49.56044890069191,127.42857142857143,49.28783831018565,3.0,3.0,11.0,0.06761592933830808
2023-03-17,P101,132,5.74,0,567,0.0,153.0,187.0,124.0,156.0,136.14285714285714,50.0514021496187,127.46428571428571,49.306661065182915,4.0,3.0,11.0,0.06852965811315008
2023-03-18,P101,81,5.74,0,486,0.0,132.0,164.0,70.0,84.0,128.28571428571428,44.7761628760746,126.60714285714286,48.99987852268712,5.0,3.0,11.0,0.06944338688799208
2023-03-19,P101,27,5.74,0,459,0.0,81.0,31.0,31.0,31.0,116.42857142857143,44.73200622543528,126.5,49.0996718703677,6.0,3.0,11.0,0.07035711566283408
2023-03-20,P101,144,5.74,0,315,0.0,27.0,150.0,151.0,171.0,115.85714285714286,46.01242068336393,126.35714285714286,49.392767715987546,0.0,3.0,12.0,0.07127084443767609
2023-03-21,P101,166,5.74,0,869,0.0,144.0,142.0,135.0,178.0,115.0,45.32107677449864,125.39285714285714,48.748287176530646,1.0,3.0,12.0,0.07218457321251809
2023-03-22,P101,167,5.74,0,702,0.0,166.0,126.0,142.0,160.0,118.42857142857143,48.50036818711497,124.96428571428571,48.319524573679885,2.0,3.0,12.0,0.07309830198736009
2023-03-23,P101,163,5.74,0,539,0.0,167.0,153.0,140.0,169.0,124.28571428571429,51.92210282629895,125.21428571428571,48.5251802850141,3.0,3.0,12.0,0.07401203076220209
2023-03-24,P101,127,5.74,0,412,0.0,163.0,132.0,187.0,150.0,125.71428571428571,52.970791592204485,125.0,48.33754770898621,4.0,3.0,12.0,0.07492575953704408
2023-03-25,P101,89,5.74,0,323,0.0,127.0,81.0,164.0,75.0,125.0,52.905576265645195,124.17857142857143,48.091774588475964,5.0,3.0,12.0,0.07583948831188608
2023-03-26,P101,30,5.74,0,293,0.0,89.0,27.0,31.0,35.0,126.14285714285714,51.873013444463815,124.67857142857143,47.632119237640296,6.0,3.0,12.0,0.0767532170867281
2023-03-27,P101,168,5.74,0,870,0.0,30.0,144.0,150.0,157.0,126.57142857142857,50.921040650721004,124.5,47.98881042415956,0.0,3.0,13.0,0.0776669458615701
2023-03-28,P101,163,5.74,0,707,0.0,168.0,166.0,142.0,161.0,130.0,53.05343218554919,124.89285714285714,48.308682821816156,1.0,3.0,13.0,0.07858067463641209
2023-03-29,P101,136,5.74,0,571,0.0,163.0,167.0,126.0,184.0,129.57142857142858,52.72525373056427,124.96428571428571,48.36549285876139,2.0,3.0,13.0,0.07949440341125409
2023-03-30,P101,151,5.75,0,420,0.0,136.0,163.0,153.0,112.0,125.14285714285714,50.30383872505349,123.25,47.027671129366496,3.0,3.0,13.0,0.08040813218609609
2023-03-31,P101,155,5.75,0,265,0.0,151.0,127.0,132.0,124.0,123.42857142857143,48.98590662240567,124.64285714285714,47.25910790972762,4.0,3.0,13.0,0.08132186096093809
2023-04-01,P101,87,5.75,0,178,0.0,155.0,89.0,81.0,70.0,127.42857142857143,50.4475210585454,125.75,47.60534128139948,5.0,4.0,13.0,0.0822355897357801
2023-04-02,P101,62,5.75,1,116,0.0,87.0,30.0,27.0,31.0,127.14285714285714,50.706438024602534,126.35714285714286,46.972185848502335,6.0,4.0,13.0,0.0831493185106221
2023-04-03,P101,185,5.75,0,0,0.0,62.0,168.0,144.0,151.0,131.71428571428572,41.002903497656064,127.46428571428571,44.96375671570846,0.0,4.0,14.0,0.0840630472854641
2023-04-04,P101,182,5.75,0,533,0.0,185.0,163.0,166.0,135.0,134.14285714285714,43.910623511205785,128.67857142857142,46.06843023753104,1.0,4.0,14.0,0.0849767760603061
2023-04-05,P101,298,5.75,1,235,0.0,182.0,136.0,167.0,142.0,136.85714285714286,46.502432092055045,130.35714285714286,47.15083305945992,2.0,4.0,14.0,0.0858905048351481
2023-04-06,P101,170,5.75,0,65,0.0,298.0,151.0,163.0,140.0,160.0,76.58546424311427,135.92857142857142,56.80566519180634,3.0,4.0,14.0,0.0868042336099901
2023-04-07,P101,181,5.75,0,654,0.0,170.0,155.0,127.0,187.0,162.71428571428572,76.55001477403361,137.0,57.16707158910691,4.0,4.0,14.0,0.08771796238483211
2023-04-08,P101,100,5.75,0,554,0.0,181.0,87.0,89.0,164.0,166.42857142857142,76.74385348429573,136.78571428571428,56.98366051893794,5.0,4.0,14.0,0.0886316911596741
2023-04-09,P101,28,5.75,0,526,0.0,100.0,62.0,30.0,31.0,168.28571428571428,74.62956135856241,134.5,57.13499284508057,6.0,4.0,14.0,0.0895454199345161
2023-04-10,P101,142,5.75,0,1229,0.0,28.0,185.0,168.0,150.0,163.42857142857142,83.30237520194558,134.39285714285714,57.33872021573934,0.0,4.0,15.0,0.0904591487093581
2023-04-11,P101,391,5.75,1,838,0.0,142.0,182.0,163.0,142.0,157.28571428571428,83.03154879464851,134.10714285714286,57.27797022430066,1.0,4.0,15.0,0.0913728774842001
2023-04-12,P101,143,5.75,0,695,0.0,391.0,298.0,136.0,126.0,187.14285714285714,121.88577791171069,143.0,75.10437182126395,2.0,4.0,15.0,0.09228660625904211
2023-04-13,P101,134,5.75,0,561,0.0,143.0,170.0,151.0,153.0,165.0,112.07438006371781,143.60714285714286,75.0305317043048,3.0,4.0,15.0,0.09320033503388411
2023-04-14,P101,141,5.75,0,420,0.0,134.0,181.0,155.0,132.0,159.85714285714286,112.63129904164973,142.92857142857142,75.02835442853568,4.0,4.0,15.0,0.09411406380872611
2023-04-15,P101,86,5.75,0,1269,0.0,141.0,100.0,87.0,81.0,154.14285714285714,112.39428895845283,143.25,74.99907406835842,5.0,4.0,15.0,0.09502779258356811
2023-04-16,P101,33,5.76,0,1236,0.0,86.0,28.0,62.0,27.0,152.14285714285714,113.63601038906135,143.42857142857142,74.85117509230174,6.0,4.0,15.0,0.09594152135841011
2023-04-17,P101,147,5.76,0,1089,0.0,33.0,142.0,185.0,144.0,152.85714285714286,112.73779101884837,143.64285714285714,74.51334172641901,0.0,4.0,16.0,0.09685525013325211
2023-04-18,P101,152,5.76,0,937,0.0,147.0,391.0,182.0,166.0,153.57142857142858,112.67335849385923,143.75,74.51603108653124,1.0,4.0,16.0,0.09776897890809412
2023-04-20,P101,142,5.76,0,646,0.0,152.0,143.0,298.0,167.0,119.42857142857143,44.04867437603219,143.25,74.4080964332163,3.0,4.0,16.0,0.09952029239320795
2023-04-21,P101,187,5.76,0,459,0.0,142.0,134.0,170.0,163.0,119.28571428571429,43.96102169617341,142.35714285714286,74.2624047678552,4.0,4.0,16.0,0.10043402116804995
2023-04-22,P101,85,5.76,0,374,0.0,187.0,141.0,181.0,127.0,126.85714285714286,50.92945634708391,143.21428571428572,74.64699996098038,5.0,4.0,16.0,0.10134774994289195
2023-04-23,P101,36,5.76,0,338,0.0,85.0,86.0,100.0,89.0,118.85714285714286,52.704928837913485,141.71428571428572,75.4030440209084,6.0,4.0,16.0,0.10226147871773396
2023-04-24,P101,150,5.76,0,1073,0.0,36.0,33.0,28.0,30.0,111.71428571428571,60.68419422363148,139.82142857142858,77.4137769207966,0.0,4.0,17.0,0.10317520749257596
2023-04-25,P101,161,5.76,0,912,0.0,150.0,147.0,142.0,168.0,128.42857142857142,50.67825681972216,144.10714285714286,74.37061311592164,1.0,4.0,17.0,0.10408893626741796
2023-04-26,P101,149,5.76,0,763,0.0,161.0,152.0,391.0,163.0,130.42857142857142,51.79722367996553,143.85714285714286,74.29905252659154,2.0,4.0,17.0,0.10500266504225995
2023-04-27,P101,111,5.76,0,652,0.0,149.0,142.0,143.0,136.0,130.0,51.60103358137963,143.35714285714286,74.21251481049106,3.0,4.0,17.0,0.10591639381710195
2023-04-28,P101,127,5.76,0,525,0.0,111.0,187.0,134.0,151.0,125.57142857142857,51.72960835877633,142.46428571428572,74.45430223763515,4.0,4.0,17.0,0.10683012259194395
2023-04-29,P101,66,5.76,0,459,0.0,127.0,85.0,141.0,155.0,117.0,44.29070632386288,141.60714285714286,74.49053595652235,5.0,4.0,17.0,0.10774385136678596
2023-04-30,P101,25,5.76,0,434,0.0,66.0,36.0,86.0,87.0,114.28571428571429,47.07339760315546,138.42857142857142,75.78548115199345,6.0,4.0,17.0,0.10865758014162796
2023-05-01,P101,138,5.76,0,296,0.0,25.0,150.0,33.0,62.0,112.71428571428571,50.20197302136736,136.21428571428572,78.21071118405295,0.0,5.0,18.0,0.10957130891646996
2023-05-02,P101,189,5.76,0,827,0.0,138.0,161.0,147.0,185.0,111.0,48.904669170404034,138.92857142857142,76.84661421560561,1.0,5.0,18.0,0.11048503769131196
2023-05-03,P101,161,5.76,0,666,0.0,189.0,149.0,152.0,182.0,115.0,54.50076452063158,139.07142857142858,76.93909499483563,2.0,5.0,18.0,0.11139876646615396
2023-05-04,P101,179,5.76,0,487,0.0,161.0,111.0,142.0,298.0,116.71428571428571,55.91873355061578,138.32142857142858,76.60676576417102,3.0,5.0,18.0,0.11231249524099596
2023-05-05,P101,156,5.76,0,331,0.0,179.0,127.0,187.0,170.0,126.42857142857143,60.481008432006014,134.07142857142858,70.47559523558157,4.0,5.0,18.0,0.11322622401583797
2023-05-06,P101,89,5.76,0,242,0.0,156.0,66.0,85.0,181.0,130.57142857142858,61.511129461415756,133.57142857142858,70.26058827358527,5.0,5.0,18.0,0.11413995279067997
2023-05-07,P101,30,5.76,0,212,0.0,89.0,25.0,36.0,100.0,133.85714285714286,58.00123151401924,130.28571428571428,70.11147586250806,6.0,5.0,18.0,0.11505368156552197
2023-05-08,P101,168,5.76,0,44,0.0,30.0,138.0,150.0,28.0,134.57142857142858,56.44719403376678,127.78571428571429,72.44070737269264,0.0,5.0,19.0,0.11596741034036397
2023-05-09,P101,178,5.76,0,576,0.0,168.0,189.0,161.0,142.0,138.85714285714286,57.87177945374463,132.78571428571428,70.0916633405234,1.0,5.0,19.0,0.11688113911520596
2023-05-10,P101,151,5.76,0,425,0.0,178.0,161.0,149.0,391.0,137.28571428571428,56.41428390550953,134.07142857142858,70.5953143820354,2.0,5.0,19.0,0.11779486789004798
2023-05-11,P101,167,5.76,0,258,0.0,151.0,179.0,111.0,143.0,135.85714285714286,55.83734882504296,125.5,49.7315013067394,3.0,5.0,19.0,0.11870859666488998
2023-05-12,P101,159,5.76,0,99,0.0,167.0,156.0,127.0,134.0,134.14285714285714,54.459246449152474,126.35714285714286,50.2484304422015,4.0,5.0,19.0,0.11962232543973197
2023-05-13,P101,77,5.76,0,22,0.0,159.0,89.0,66.0,141.0,134.57142857142858,54.67131223002045,127.25,50.61007438869884,5.0,5.0,19.0,0.12053605421457397
2023-05-14,P101,29,5.76,0,0,0.0,77.0,30.0,25.0,86.0,132.85714285714286,56.49610184614091,124.96428571428571,51.40505966079758,6.0,5.0,19.0,0.12144978298941597
2023-05-15,P101,138,5.76,0,587,0.0,29.0,168.0,138.0,33.0,132.71428571428572,56.79998323272726,122.92857142857143,54.06506955541393,0.0,5.0,20.0,0.12236351176425797
2023-05-16,P101,166,5.76,0,421,0.0,138.0,178.0,189.0,147.0,128.42857142857142,54.790075569872904,126.67857142857143,51.15991889738785,1.0,5.0,20.0,0.12327724053909998
2023-05-17,P101,167,5.76,0,254,0.0,166.0,151.0,161.0,152.0,126.71428571428571,53.14356118325246,127.35714285714286,51.56385059157906,2.0,5.0,20.0,0.12419096931394198
2023-05-18,P101,219,5.76,1,35,0.0,167.0,167.0,179.0,142.0,129.0,54.68394036034104,127.89285714285714,51.90613985356025,3.0,5.0,20.0,0.12510469808878397
2023-05-19,P101,150,5.76,0,0,0.0,219.0,159.0,156.0,187.0,136.42857142857142,63.52389876484059,130.64285714285714,54.64851615058106,4.0,5.0,20.0,0.126018426863626
2023-05-20,P101,87,5.76,0,683,0.0,150.0,77.0,89.0,85.0,135.14285714285714,63.0804475027156,129.32142857142858,53.6739495206274,5.0,5.0,20.0,0.126932155638468
2023-05-21,P101,35,5.76,0,648,0.0,87.0,29.0,30.0,36.0,136.57142857142858,61.64105002041294,129.39285714285714,53.61408002306463,6.0,5.0,20.0,0.12784588441331
2023-05-22,P101,185,5.76,0,463,0.0,35.0,138.0,168.0,150.0,137.42857142857142,59.91342960988838,129.35714285714286,53.67889045447271,0.0,5.0,21.0,0.128759613188152
2023-05-23,P101,187,5.76,0,1051,0.0,185.0,166.0,178.0,161.0,144.14285714285714,62.56311099316321,130.60714285714286,54.577392745914494,1.0,5.0,21.0,0.129673341962994
2023-05-24,P101,143,5.76,0,908,0.0,187.0,167.0,151.0,149.0,147.14285714285714,64.26618751056311,131.53571428571428,55.32963986525711,2.0,5.0,21.0,0.130587070737836
2023-05-25,P101,185,5.76,0,723,0.0,143.0,219.0,167.0,111.0,143.71428571428572,63.66766391639817,131.32142857142858,55.271085181520164,3.0,5.0,21.0,0.13150079951267798
2023-05-26,P101,140,5.76,0,583,0.0,185.0,150.0,159.0,127.0,138.85714285714286,58.01272438419172,133.96428571428572,56.027428562470654,4.0,5.0,21.0,0.13241452828751998
2023-05-27,P101,91,5.76,0,492,0.0,140.0,87.0,77.0,66.0,137.42857142857142,57.81538763702142,134.42857142857142,56.02144336236007,5.0,5.0,21.0,0.13332825706236198
2023-05-28,P101,33,5.76,0,459,0.0,91.0,35.0,29.0,25.0,138.0,57.25090974531906,135.32142857142858,55.08179343716006,6.0,5.0,21.0,0.13424198583720398
2023-05-29,P101,150,5.76,0,309,0.0,33.0,185.0,138.0,138.0,137.71428571428572,57.85243955015868,135.60714285714286,54.50609159684835,0.0,5.0,22.0,0.13515571461204598
2023-05-30,P101,131,5.76,0,178,0.0,150.0,187.0,166.0,189.0,132.71428571428572,54.49989078189146,136.03571428571428,54.57273918756381,1.0,5.0,22.0,0.13599329932231782
2023-05-31,P101,157,5.76,0,816,0.0,131.0,143.0,167.0,161.0,124.71428571428571,49.03982832254579,133.96428571428572,53.57962723859187,2.0,5.0,22.0,0.13690702809715982
2023-06-01,P101,129,5.76,0,687,0.0,157.0,185.0,219.0,179.0,126.71428571428571,50.18204953205974,133.82142857142858,53.5101607322133,3.0,6.0,22.0,0.13782075687200182
2023-06-02,P101,164,5.76,0,523,0.0,129.0,140.0,150.0,156.0,118.71428571428571,43.33864436317889,132.03571428571428,52.77589386779701,4.0,6.0,22.0,0.13873448564684382
2023-06-03,P101,95,5.76,0,428,0.0,164.0,91.0,87.0,89.0,122.14285714285714,46.16069241042129,132.32142857142858,52.931859461308804,5.0,6.0,22.0,0.13964821442168582
2023-06-04,P101,30,5.76,0,1178,0.0,95.0,33.0,35.0,30.0,122.71428571428571,45.733701234116516,132.53571428571428,52.76185641221784,6.0,6.0,22.0,0.14056194319652784
2023-06-05,P101,162,5.76,0,1016,0.0,30.0,150.0,185.0,168.0,122.28571428571429,46.71799897867449,132.53571428571428,52.76185641221784,0.0,6.0,23.0,0.14147567197136984
2023-06-06,P101,150,5.76,0,866,0.0,162.0,131.0,187.0,178.0,124.0,48.10405388322279,132.32142857142858,52.62449336181111,1.0,6.0,23.0,0.14238940074621184
