date,sku,on_hand,on_order
2023-04-24,P101,1073,0
2023-04-25,P101,912,0
2023-04-26,P101,763,720
2023-04-27,P101,652,720
2023-04-28,P101,525,720
2023-04-29,P101,459,720
2023-04-30,P101,434,720
2023-05-01,P101,296,720
2023-05-02,P101,827,0
2023-05-03,P101,666,710
2023-05-04,P101,487,710
2023-05-05,P101,331,710
2023-05-06,P101,242,710
2023-05-07,P101,212,710
2023-05-08,P101,44,710
2023-05-09,P101,576,725
2023-05-10,P101,425,725
2023-05-11,P101,258,725
2023-05-12,P101,99,725
2023-05-13,P101,22,725
2023-05-14,P101,0,725
2023-05-15,P101,587,770
2023-05-16,P101,421,770
2023-05-17,P101,254,770
2023-05-18,P101,35,770
2023-05-19,P101,0,770
2023-05-20,P101,683,775
2023-05-21,P101,648,775
2023-05-22,P101,463,775
2023-05-23,P101,1051,0
2023-05-24,P101,908,0
2023-05-25,P101,723,795
2023-05-26,P101,583,795
2023-05-27,P101,492,795
2023-05-28,P101,459,795
2023-05-29,P101,309,795
2023-05-30,P101,178,795
2023-05-31,P101,816,780
2023-06-01,P101,687,780
2023-06-02,P101,523,780
2023-06-03,P101,428,780
2023-06-04,P101,1178,0
2023-06-05,P101,1016,0
2023-06-06,P101,866,0
2023-06-07,P101,717,725
2023-06-08,P101,548,725
2023-06-09,P101,401,725
2023-06-10,P101,304,725
2023-06-11,P101,273,725
2023-06-12,P101,824,0
2023-06-13,P101,660,750
2023-06-14,P101,487,750
2023-06-15,P101,340,750
2023-06-16,P101,193,750
2023-06-17,P101,863,0
2023-06-18,P101,834,0
2023-06-19,P101,667,750
2023-06-20,P101,494,750
2023-06-21,P101,325,750
2023-06-22,P101,145,750
2023-06-23,P101,0,750
2023-06-24,P101,673,775
2023-06-25,P101,639,775
2023-06-26,P101,494,775
2023-06-27,P101,333,775
2023-06-28,P101,185,775
2023-06-29,P101,4,775
2023-06-30,P101,627,770
2023-07-01,P101,549,770
2023-07-02,P101,513,770
2023-07-03,P101,1165,0
2023-07-04,P101,1040,0
2023-07-05,P101,869,0
2023-07-06,P101,715,720
2023-07-07,P101,566,720
2023-07-08,P101,1218,0
2023-07-09,P101,1186,0
2023-07-10,P101,998,0
2023-07-11,P101,824,0
2023-07-12,P101,665,735
2023-07-13,P101,520,735
2023-07-14,P101,382,735
2023-07-15,P101,321,735
2023-07-16,P101,288,735
2023-07-17,P101,0,735
2023-07-18,P101,604,800
2023-07-19,P101,460,800
2023-07-20,P101,328,800
2023-07-21,P101,199,800
2023-07-22,P101,119,800
2023-07-23,P101,895,0
2023-07-24,P101,732,765
2023-07-25,P101,561,765
2023-07-26,P101,410,765
2023-07-27,P101,301,765
2023-07-28,P101,173,765
2023-07-29,P101,84,765
2023-07-30,P101,827,0
2023-07-31,P101,681,665
2023-08-01,P101,544,665
2023-08-02,P101,376,665
2023-08-03,P101,124,665
2023-08-04,P101,0,665
2023-08-05,P101,0,665
2023-08-06,P101,627,745
2023-08-07,P101,479,745
2023-08-08,P101,316,745
2023-08-09,P101,188,745
2023-08-10,P101,19,745
2023-08-11,P101,0,745
2023-08-12,P101,672,745
2023-08-13,P101,641,745
2023-08-14,P101,517,745
2023-08-15,P101,357,745
2023-08-16,P101,933,0
2023-08-17,P101,780,0
2023-08-18,P101,663,695
2023-08-19,P101,586,695
2023-08-20,P101,552,695
2023-08-21,P101,433,695
2023-08-22,P101,991,0
2023-08-23,P101,824,0
2023-08-24,P101,672,675
2023-08-25,P101,525,675
2023-08-26,P101,432,675
2023-08-27,P101,399,675
2023-08-28,P101,914,0
2023-08-29,P101,713,725
2023-08-30,P101,565,725
2023-08-31,P101,431,725
2023-09-01,P101,284,725
2023-09-02,P101,203,725
2023-09-03,P101,174,725
2023-09-04,P101,42,725
2023-09-05,P101,421,810
2023-09-06,P101,264,810
2023-09-07,P101,129,810
2023-09-08,P101,0,810
2023-09-09,P101,0,810
2023-09-10,P101,780,795
2023-09-11,P101,623,795
2023-09-12,P101,491,795
2023-09-13,P101,334,795
2023-09-14,P101,157,795
2023-09-15,P101,10,795
2023-09-16,P101,731,785
2023-09-17,P101,702,785
2023-09-18,P101,561,785
2023-09-19,P101,412,785
2023-09-20,P101,268,785
2023-09-21,P101,892,0
2023-09-22,P101,779,0
2023-09-23,P101,695,700
2023-09-24,P101,666,700
2023-09-25,P101,512,700
2023-09-26,P101,378,700
2023-09-27,P101,206,700
2023-09-28,P101,40,700
2023-09-29,P101,0,700
2023-09-30,P101,636,700
2023-10-01,P101,603,700
2023-10-02,P101,449,700
2023-10-03,P101,323,700
2023-10-04,P101,173,700
2023-10-05,P101,21,700
2023-10-06,P101,573,710
2023-10-07,P101,495,710
2023-10-08,P101,1173,0
2023-10-09,P101,1002,0
2023-10-10,P101,828,0
2023-10-11,P101,725,700
2023-10-12,P101,584,700
2023-10-13,P101,447,700
2023-10-14,P101,385,700
2023-10-15,P101,354,700
2023-10-16,P101,186,700
2023-10-17,P101,751,0
2023-10-18,P101,595,695
2023-10-19,P101,463,695
2023-10-20,P101,334,695
2023-10-21,P101,245,695
2023-10-22,P101,911,0
2023-10-23,P101,756,0
2023-10-24,P101,634,655
2023-10-25,P101,452,655
2023-10-26,P101,296,655
2023-10-27,P101,159,655
2023-10-28,P101,77,655
2023-10-29,P101,51,655
2023-10-30,P101,0,655
2023-10-31,P101,0,655
2023-11-01,P101,507,700
2023-11-02,P101,368,700
2023-11-03,P101,237,700
2023-11-04,P101,154,700
2023-11-05,P101,122,700
2023-11-06,P101,0,700
2023-11-07,P101,0,700
2023-11-08,P101,0,700
2023-11-09,P101,0,700
2023-11-10,P101,0,700
2023-11-11,P101,0,700
2023-11-12,P101,665,715
2023-11-13,P101,493,715
2023-11-14,P101,353,715
2023-11-15,P101,164,715
2023-11-16,P101,0,715
2023-11-17,P101,0,715
2023-11-18,P101,637,750
2023-11-19,P101,607,750
2023-11-20,P101,461,750
2023-11-21,P101,299,750
2023-11-22,P101,123,750
2023-11-23,P101,721,755
2023-11-24,P101,593,755
2023-11-25,P101,508,755
2023-11-26,P101,1229,0
2023-11-27,P101,1068,0
2023-11-28,P101,899,0
2023-11-29,P101,750,735
2023-11-30,P101,616,735
2023-12-01,P101,487,735
2023-12-02,P101,423,735
2023-12-03,P101,391,735
2023-12-04,P101,241,735
2023-12-05,P101,826,0
2023-12-06,P101,722,675
2023-12-07,P101,592,675
2023-12-08,P101,431,675
2023-12-09,P101,358,675
2023-12-10,P101,325,675
2023-12-11,P101,871,0
2023-12-12,P101,688,670
2023-12-13,P101,535,670
2023-12-14,P101,379,670
2023-12-15,P101,868,0
2023-12-16,P101,775,0
2023-12-17,P101,744,710
2023-12-18,P101,601,710
2023-12-19,P101,447,710
2023-12-20,P101,282,710
2023-12-21,P101,131,710
2023-12-22,P101,702,735
2023-12-23,P101,609,735
2023-12-24,P101,577,735
2023-12-25,P101,384,735
2023-12-26,P101,222,735
2023-12-27,P101,34,735
2023-12-28,P101,610,775
2023-12-29,P101,448,775
2023-12-30,P101,374,775
2023-12-31,P101,345,775
2024-01-01,P101,182,775
2024-01-02,P101,778,780
2024-01-03,P101,619,780
2024-01-04,P101,486,780
2024-01-05,P101,361,780
2024-01-06,P101,293,780
2024-01-07,P101,267,780
2024-01-08,P101,889,0
2024-01-09,P101,706,745
2024-01-10,P101,546,745
2024-01-11,P101,429,745
2024-01-12,P101,284,745
2024-01-13,P101,204,745
2024-01-14,P101,164,745
2024-01-15,P101,777,0
2024-01-16,P101,620,695
2024-01-17,P101,429,695
2024-01-18,P101,265,695
2024-01-19,P101,106,695
2024-01-20,P101,718,740
2024-01-21,P101,684,740
2024-01-22,P101,1252,0
2024-01-23,P101,1102,0
2024-01-24,P101,924,0
2024-01-25,P101,790,750
2024-01-26,P101,634,750
2024-01-27,P101,550,750
2024-01-28,P101,519,750
2024-01-29,P101,360,750
2024-01-30,P101,955,0
2024-01-31,P101,811,0
2024-02-01,P101,658,740
2024-02-02,P101,525,740
2024-02-03,P101,439,740
2024-02-04,P101,410,740
2024-02-05,P101,59,740
2024-02-06,P101,0,740
2024-02-07,P101,586,790
2024-02-08,P101,437,790
2024-02-09,P101,262,790
2024-02-10,P101,175,790
2024-02-11,P101,142,790
2024-02-12,P101,761,810
2024-02-13,P101,632,810
2024-02-14,P101,467,810
2024-02-15,P101,271,810
2024-02-16,P101,115,810
2024-02-17,P101,840,835
2024-02-18,P101,804,835
2024-02-19,P101,1460,0
2024-02-20,P101,1328,0
2024-02-21,P101,1192,0
2024-02-22,P101,1026,0
2024-02-23,P101,884,0
2024-02-24,P101,787,750
2024-02-25,P101,754,750
2024-02-26,P101,625,750
2024-02-27,P101,478,750
2024-02-28,P101,361,750
2024-02-29,P101,952,0
2024-03-01,P101,800,0
2024-03-02,P101,719,705
2024-03-03,P101,681,705
2024-03-04,P101,494,705
2024-03-05,P101,326,705
2024-03-06,P101,902,0
2024-03-07,P101,727,720
2024-03-08,P101,562,720
2024-03-09,P101,473,720
2024-03-10,P101,435,720
2024-03-11,P101,291,720
2024-03-12,P101,655,825
2024-03-13,P101,504,825
2024-03-14,P101,326,825
2024-03-15,P101,198,825
2024-03-16,P101,121,825
2024-03-17,P101,906,0
2024-03-18,P101,744,825
2024-03-19,P101,555,825
2024-03-20,P101,381,825
2024-03-21,P101,1043,0
2024-03-22,P101,862,850
2024-03-23,P101,778,850
2024-03-24,P101,1600,0
2024-03-25,P101,1448,0
2024-03-26,P101,1264,0
2024-03-27,P101,1086,0
2024-03-28,P101,949,0
2024-03-29,P101,804,780
2024-03-30,P101,723,780
2024-03-31,P101,690,780
2024-04-01,P101,548,780
2024-04-02,P101,386,780
2024-04-03,P101,229,780
2024-04-04,P101,829,0
2024-04-05,P101,527,810
2024-04-06,P101,441,810
2024-04-07,P101,408,810
2024-04-08,P101,238,810
2024-04-09,P101,80,810
2024-04-10,P101,0,810
2024-04-11,P101,532,855
2024-04-12,P101,385,855
2024-04-13,P101,309,855
2024-04-14,P101,274,855
2024-04-15,P101,948,0
2024-04-16,P101,804,865
2024-04-17,P101,632,865
2024-04-18,P101,1335,0
2024-04-19,P101,1171,0
2024-04-20,P101,1084,0
2024-04-21,P101,1055,0
2024-04-22,P101,910,0
2024-04-23,P101,735,800
2024-04-24,P101,544,800
2024-04-25,P101,418,800
2024-04-26,P101,253,800
2024-04-27,P101,846,815
2024-04-28,P101,812,815
2024-04-29,P101,634,815
2024-04-30,P101,325,815
2024-05-01,P101,156,815
2024-05-02,P101,19,815
2024-05-03,P101,0,815
2024-05-04,P101,719,855
2024-05-05,P101,656,855
2024-05-06,P101,496,855
2024-05-07,P101,348,855
2024-05-08,P101,203,855
2024-05-09,P101,40,855
2024-05-10,P101,0,855
2024-05-11,P101,764,805
2024-05-12,P101,727,805
2024-05-13,P101,553,805
2024-05-14,P101,1179,0
2024-05-15,P101,978,0
2024-05-16,P101,831,770
2024-05-17,P101,674,770
2024-05-18,P101,576,770
2024-05-19,P101,1306,0
2024-05-20,P101,1165,0
2024-05-21,P101,997,0
2024-05-22,P101,801,800
2024-05-23,P101,626,800
2024-05-24,P101,465,800
2024-05-25,P101,1180,0
2024-05-26,P101,1147,0
2024-05-27,P101,975,0
2024-05-28,P101,806,800
2024-05-29,P101,637,800
2024-05-30,P101,470,800
2024-05-31,P101,324,800
2024-06-01,P101,1032,0
2024-06-02,P101,986,0
2024-06-03,P101,852,790
2024-06-04,P101,673,790
2024-06-05,P101,518,790
2024-06-06,P101,1133,0
2024-06-07,P101,975,0
2024-06-08,P101,882,0
2024-06-09,P101,843,780
2024-06-10,P101,673,780
2024-06-11,P101,479,780
2024-06-12,P101,354,780
2024-06-13,P101,161,780
2024-06-14,P101,0,780
2024-06-15,P101,0,780
2024-06-16,P101,0,780
2024-06-17,P101,0,780
2024-06-18,P101,0,780
2024-06-19,P101,0,780
2024-06-20,P101,611,790
2024-06-21,P101,437,790
2024-06-22,P101,368,790
2024-06-23,P101,296,790
2024-06-24,P101,131,790
2024-06-25,P101,0,790
2024-06-26,P101,650,795
2024-06-27,P101,478,795
2024-06-28,P101,364,795
2024-06-29,P101,273,795
2024-06-30,P101,1040,0
2024-07-01,P101,875,0
2024-07-02,P101,707,765
2024-07-03,P101,519,765
2024-07-04,P101,360,765
2024-07-05,P101,144,765
2024-07-06,P101,829,795
2024-07-07,P101,790,795
2024-07-08,P101,617,795
2024-07-09,P101,455,795
2024-07-10,P101,1088,0
2024-07-11,P101,955,0
2024-07-12,P101,795,790
2024-07-13,P101,727,790
2024-07-14,P101,690,790
2024-07-15,P101,1315,0
2024-07-16,P101,925,880
2024-07-17,P101,780,880
2024-07-18,P101,621,880
2024-07-19,P101,1318,0
2024-07-20,P101,1223,0
2024-07-21,P101,1192,0
2024-07-22,P101,1026,0
2024-07-23,P101,858,850
2024-07-24,P101,688,850
2024-07-25,P101,541,850
2024-07-26,P101,390,850
2024-07-27,P101,1171,0
2024-07-28,P101,1137,0
2024-07-29,P101,968,0
2024-07-30,P101,805,760
2024-07-31,P101,670,760
2024-08-01,P101,494,760
2024-08-02,P101,337,760
2024-08-03,P101,260,760
2024-08-04,P101,988,0
2024-08-05,P101,854,0
2024-08-06,P101,707,725
2024-08-07,P101,554,725
2024-08-08,P101,374,725
2024-08-09,P101,234,725
2024-08-10,P101,145,725
2024-08-11,P101,839,0
2024-08-12,P101,675,730
2024-08-13,P101,512,730
2024-08-14,P101,334,730
2024-08-15,P101,16,730
2024-08-16,P101,0,730
2024-08-17,P101,660,790
2024-08-18,P101,629,790
2024-08-19,P101,492,790
2024-08-20,P101,320,790
2024-08-21,P101,167,790
2024-08-22,P101,0,790
2024-08-23,P101,0,790
2024-08-24,P101,0,790
2024-08-25,P101,0,790
2024-08-26,P101,641,795
2024-08-27,P101,475,795
2024-08-28,P101,276,795
2024-08-29,P101,116,795
2024-08-30,P101,731,760
2024-08-31,P101,653,760
2024-09-01,P101,619,760
2024-09-02,P101,444,760
2024-09-03,P101,1044,0
2024-09-04,P101,894,0
2024-09-05,P101,777,740
2024-09-06,P101,618,740
2024-09-07,P101,537,740
2024-09-08,P101,508,740
2024-09-09,P101,349,740
2024-09-10,P101,197,740
2024-09-11,P101,786,735
2024-09-12,P101,620,735
2024-09-13,P101,494,735
2024-09-14,P101,403,735
2024-09-15,P101,375,735
2024-09-16,P101,230,735
2024-09-17,P101,768,720
2024-09-18,P101,589,720
2024-09-19,P101,432,720
2024-09-20,P101,300,720
2024-09-21,P101,944,0
2024-09-22,P101,911,0
2024-09-23,P101,754,735
2024-09-24,P101,593,735
2024-09-25,P101,434,735
2024-09-26,P101,283,735
2024-09-27,P101,894,0
2024-09-28,P101,817,0
2024-09-29,P101,781,735
2024-09-30,P101,648,735
2024-10-01,P101,489,735
2024-10-02,P101,344,735
2024-10-03,P101,187,735
2024-10-04,P101,46,735
2024-10-05,P101,0,735
2024-10-06,P101,0,735
2024-10-07,P101,0,735
2024-10-08,P101,561,710
2024-10-09,P101,415,710
2024-10-10,P101,270,710
2024-10-11,P101,117,710
2024-10-12,P101,40,710
2024-10-13,P101,4,710
2024-10-14,P101,0,710
2024-10-15,P101,0,710
2024-10-16,P101,0,710
2024-10-17,P101,565,710
2024-10-18,P101,399,710
2024-10-19,P101,312,710
2024-10-20,P101,273,710
2024-10-21,P101,77,710
2024-10-22,P101,0,710
2024-10-23,P101,549,740
2024-10-24,P101,414,740
2024-10-25,P101,279,740
2024-10-26,P101,203,740
2024-10-27,P101,174,740
2024-10-28,P101,35,740
2024-10-29,P101,615,725
2024-10-30,P101,476,725
2024-10-31,P101,306,725
2024-11-01,P101,173,725
2024-11-02,P101,66,725
2024-11-03,P101,35,725
2024-11-04,P101,0,725
2024-11-05,P101,585,705
2024-11-06,P101,394,705
2024-11-07,P101,219,705
2024-11-08,P101,65,705
2024-11-09,P101,0,705
2024-11-10,P101,671,740
2024-11-11,P101,532,740
2024-11-12,P101,342,740
2024-11-13,P101,166,740
2024-11-14,P101,8,740
2024-11-15,P101,0,740
2024-11-16,P101,667,740
2024-11-17,P101,632,740
2024-11-18,P101,452,740
2024-11-19,P101,267,740
2024-11-20,P101,873,0
2024-11-21,P101,710,740
2024-11-22,P101,543,740
2024-11-23,P101,1215,0
2024-11-24,P101,1182,0
2024-11-25,P101,923,0
2024-11-26,P101,763,780
2024-11-27,P101,633,780
2024-11-28,P101,329,780
2024-11-29,P101,184,780
2024-11-30,P101,102,780
2024-12-01,P101,851,840
2024-12-02,P101,698,840
2024-12-03,P101,532,840
2024-12-04,P101,360,840
2024-12-05,P101,1046,0
2024-12-06,P101,901,0
2024-12-07,P101,817,830
2024-12-08,P101,791,830
2024-12-09,P101,621,830
2024-12-10,P101,453,830
2024-12-11,P101,288,830
2024-12-12,P101,941,0
2024-12-13,P101,821,0
2024-12-14,P101,755,740
2024-12-15,P101,720,740
2024-12-16,P101,558,740
2024-12-17,P101,386,740
2024-12-18,P101,229,740
2024-12-19,P101,56,740
2024-12-20,P101,627,760
2024-12-21,P101,538,760
2024-12-22,P101,505,760
2024-12-23,P101,379,760
2024-12-24,P101,195,760
2024-12-25,P101,766,765
2024-12-26,P101,592,765
2024-12-27,P101,452,765
2024-12-28,P101,360,765
2024-12-29,P101,323,765
2024-12-30,P101,895,0
2024-12-31,P101,741,785
2025-01-01,P101,577,785
2025-01-02,P101,400,785
2025-01-03,P101,243,785
2025-01-04,P101,168,785
2025-01-05,P101,132,785
2025-01-06,P101,0,785
2025-01-07,P101,0,785
2025-01-08,P101,612,790
2025-01-09,P101,452,790
2025-01-10,P101,270,790
2025-01-11,P101,192,790
2025-01-12,P101,160,790
2025-01-13,P101,0,790
2025-01-14,P101,0,790
2025-01-15,P101,648,870
2025-01-16,P101,506,870
2025-01-17,P101,383,870
2025-01-18,P101,1166,0
2025-01-19,P101,1135,0
2025-01-20,P101,974,0
2025-01-21,P101,787,840
2025-01-22,P101,628,840
2025-01-23,P101,1297,0
2025-01-24,P101,1143,0
2025-01-25,P101,1049,0
2025-01-26,P101,1012,0
2025-01-27,P101,856,0
2025-01-28,P101,684,750
2025-01-29,P101,491,750
2025-01-30,P101,1066,0
2025-01-31,P101,930,0
2025-02-01,P101,835,790
2025-02-02,P101,804,790
2025-02-03,P101,607,790
2025-02-04,P101,410,790
2025-02-05,P101,231,790
2025-02-06,P101,59,790
2025-02-07,P101,691,820
2025-02-08,P101,536,820
2025-02-09,P101,502,820
2025-02-10,P101,326,820
2025-02-11,P101,131,820
2025-02-12,P101,0,820
2025-02-13,P101,661,845
2025-02-14,P101,520,845
2025-02-15,P101,441,845
2025-02-16,P101,1257,0
2025-02-17,P101,1071,0
2025-02-18,P101,856,840
2025-02-19,P101,652,840
2025-02-20,P101,1351,0
2025-02-21,P101,1175,0
2025-02-22,P101,1071,0
2025-02-23,P101,1037,0
2025-02-24,P101,862,825
2025-02-25,P101,722,825
2025-02-26,P101,446,825
2025-02-27,P101,294,825
2025-02-28,P101,126,825
2025-03-01,P101,876,855
2025-03-02,P101,838,855
2025-03-03,P101,644,855
2025-03-04,P101,478,855
2025-03-05,P101,322,855
2025-03-06,P101,1045,0
2025-03-07,P101,885,0
2025-03-08,P101,800,805
2025-03-09,P101,770,805
2025-03-10,P101,586,805
2025-03-11,P101,1218,0
2025-03-12,P101,1060,0
2025-03-13,P101,897,0
2025-03-14,P101,712,780
2025-03-15,P101,615,780
2025-03-16,P101,579,780
2025-03-17,P101,1171,0
2025-03-18,P101,1012,0
2025-03-19,P101,832,795
2025-03-20,P101,654,795
2025-03-21,P101,496,795
2025-03-22,P101,400,795
2025-03-23,P101,366,795
2025-03-24,P101,974,0
2025-03-25,P101,779,830
2025-03-26,P101,517,830
2025-03-27,P101,319,830
2025-03-28,P101,208,830
2025-03-29,P101,122,830
2025-03-30,P101,911,855
2025-03-31,P101,609,855
2025-04-01,P101,455,855
2025-04-02,P101,296,855
2025-04-03,P101,100,855
2025-04-04,P101,823,885
2025-04-05,P101,719,885
2025-04-06,P101,682,885
2025-04-07,P101,528,885
2025-04-08,P101,355,885
2025-04-09,P101,1079,0
2025-04-10,P101,886,825
2025-04-11,P101,705,825
2025-04-12,P101,630,825
2025-04-13,P101,595,825
2025-04-14,P101,1259,0
2025-04-15,P101,1048,0
2025-04-16,P101,894,0
2025-04-17,P101,686,815
2025-04-18,P101,519,815
2025-04-19,P101,1253,0
2025-04-20,P101,1219,0
2025-04-21,P101,1057,0
2025-04-22,P101,898,0
2025-04-23,P101,715,825
2025-04-24,P101,386,825
2025-04-25,P101,258,825
2025-04-26,P101,113,825
2025-04-27,P101,83,825
2025-04-28,P101,0,825
2025-04-29,P101,659,870
2025-04-30,P101,495,870
2025-05-01,P101,280,870
2025-05-02,P101,111,870
2025-05-03,P101,16,870
2025-05-04,P101,0,870
2025-05-05,P101,705,880
2025-05-06,P101,516,880
2025-05-07,P101,355,880
2025-05-08,P101,161,880
2025-05-09,P101,895,835
2025-05-10,P101,806,835
2025-05-11,P101,771,835
2025-05-12,P101,1425,0
2025-05-13,P101,1253,0
2025-05-14,P101,1077,0
2025-05-15,P101,905,0
2025-05-16,P101,751,805
2025-05-17,P101,654,805
2025-05-18,P101,616,805
2025-05-19,P101,440,805
2025-05-20,P101,1069,0
2025-05-21,P101,872,825
2025-05-22,P101,701,825
2025-05-23,P101,539,825
2025-05-24,P101,446,825
2025-05-25,P101,402,825
2025-05-26,P101,1076,0
2025-05-27,P101,877,825
2025-05-28,P101,734,825
2025-05-29,P101,554,825
2025-05-30,P101,358,825
2025-05-31,P101,261,825
2025-06-01,P101,224,825
2025-06-02,P101,58,825
2025-06-03,P101,699,830
2025-06-04,P101,524,830
2025-06-05,P101,364,830
2025-06-06,P101,203,830
2025-06-07,P101,109,830
2025-06-08,P101,76,830
2025-06-09,P101,745,820
2025-06-10,P101,590,820
2025-06-11,P101,403,820
2025-06-12,P101,78,820
2025-06-13,P101,728,865
2025-06-14,P101,627,865
2025-06-15,P101,590,865
2025-06-16,P101,407,865
2025-06-17,P101,1084,0
2025-06-18,P101,907,880
2025-06-19,P101,744,880
2025-06-20,P101,539,880
2025-06-21,P101,1333,0
2025-06-22,P101,1299,0
2025-06-23,P101,1001,950
2025-06-24,P101,815,950
2025-06-25,P101,665,950
2025-06-26,P101,340,950
2025-06-27,P101,177,950
2025-06-28,P101,98,950
2025-06-29,P101,1007,940
2025-06-30,P101,821,940
2025-07-01,P101,666,940
2025-07-02,P101,312,940
2025-07-03,P101,127,940
2025-07-04,P101,0,940
2025-07-05,P101,0,940
2025-07-06,P101,0,940
2025-07-07,P101,0,940
2025-07-08,P101,773,940
2025-07-09,P101,585,940
2025-07-10,P101,405,940
2025-07-11,P101,242,940
2025-07-12,P101,160,940
2025-07-13,P101,1064,0
2025-07-14,P101,893,890
2025-07-15,P101,740,890
2025-07-16,P101,593,890
2025-07-17,P101,412,890
2025-07-18,P101,1186,0
2025-07-19,P101,1095,0
2025-07-20,P101,1061,0
2025-07-21,P101,865,0
2025-07-22,P101,697,785
2025-07-23,P101,510,785
2025-07-24,P101,348,785
2025-07-25,P101,185,785
2025-07-26,P101,89,785
2025-07-27,P101,55,785
2025-07-28,P101,503,850
2025-07-29,P101,345,850
2025-07-30,P101,166,850
2025-07-31,P101,0,850
2025-08-01,P101,678,890
2025-08-02,P101,571,890
2025-08-03,P101,539,890
2025-08-04,P101,1285,0
2025-08-05,P101,1128,0
2025-08-06,P101,943,0
2025-08-07,P101,766,875
2025-08-08,P101,604,875
2025-08-09,P101,527,875
2025-08-10,P101,489,875
2025-08-11,P101,343,875
2025-08-12,P101,145,875
2025-08-13,P101,794,825
2025-08-14,P101,620,825
2025-08-15,P101,451,825
2025-08-16,P101,368,825
2025-08-17,P101,340,825
2025-08-18,P101,183,825
2025-08-19,P101,29,825
2025-08-20,P101,710,795
2025-08-21,P101,512,795
2025-08-22,P101,349,795
2025-08-23,P101,258,795
2025-08-24,P101,1019,0
2025-08-25,P101,854,815
2025-08-26,P101,662,815
2025-08-27,P101,492,815
2025-08-28,P101,139,815
2025-08-29,P101,799,860
2025-08-30,P101,715,860
2025-08-31,P101,686,860
2025-09-01,P101,555,860
2025-09-02,P101,1247,0
2025-09-03,P101,1076,0
2025-09-04,P101,934,0
2025-09-05,P101,777,840
2025-09-06,P101,690,840
2025-09-07,P101,664,840
2025-09-08,P101,514,840
2025-09-09,P101,333,840
2025-09-10,P101,156,840
2025-09-11,P101,12,840
2025-09-12,P101,692,745
2025-09-13,P101,596,745
2025-09-14,P101,559,745
2025-09-15,P101,394,745
